Table,Order,Field,Lark Type,Required,Nullable,Key role,Source path / metric,Definition,Time / zero / null semantics,Example,Relation / Options,Import note
RAW_Meta_Organic_Accounts,1,raw_account_key,Text,Yes,No,Primary + Stable,adapter,Stable account/page identity,Never null; IDs remain Text,facebook:PAGE_ID,,Primary field
RAW_Meta_Organic_Accounts,2,platform,SingleSelect,Yes,No,Partition,adapter,Organic platform,Exact controlled value,facebook,facebook|instagram,Use Views by platform
RAW_Meta_Organic_Accounts,3,source_account_id,Text,Yes,No,Identity,id or /me.id,Authoritative external account ID,Never coerce to number,PAGE_ID,,Text
RAW_Meta_Organic_Accounts,4,account_name,Text,Yes,No,Attribute,name or username,Current display name,Latest value,ThanakirinFarm,,
RAW_Meta_Organic_Accounts,5,username,Text,No,Yes,Attribute,username,Platform username when returned,Null valid,,,
RAW_Meta_Organic_Accounts,6,account_type,SingleSelect,No,Yes,Classification,account_type/category,Source account type,Unknown remains unknown,creator,page|business|creator|professional|unknown,
RAW_Meta_Organic_Accounts,7,category,Text,No,Yes,Attribute,category,Source category,Null valid,,,
RAW_Meta_Organic_Accounts,8,followers_count,Number,No,Yes,Metric latest,followers_count,Current follower count,Observed 0 remains 0; missing null,4,,Whole number
RAW_Meta_Organic_Accounts,9,follows_count,Number,No,Yes,Metric latest,follows_count,Current follows count,Observed 0 remains 0; missing null,7,,Whole number
RAW_Meta_Organic_Accounts,10,fan_count,Number,No,Yes,Metric latest,fan_count,Current Facebook fan count,Observed 0 remains 0; missing null,,,Whole number
RAW_Meta_Organic_Accounts,11,media_count,Number,No,Yes,Metric latest,media_count,Current Instagram media count,Observed 0 remains 0; missing null,1,,Whole number
RAW_Meta_Organic_Accounts,12,profile_url,URL,No,Yes,Attribute,link/profile URL,Canonical public profile link,Null valid,,,
RAW_Meta_Organic_Accounts,13,insight_resource_alias,Text,No,Yes,Audit only,insight resource prefix,Non-canonical insight resource alias,Must never replace source_account_id,,,Audit/debug only
RAW_Meta_Organic_Accounts,14,fetched_at,DateTime,Yes,No,Audit,connector clock,Fetch instant UTC,Store exact instant,,,
RAW_Meta_Organic_Accounts,15,source_payload_json,LongText,Yes,No,Audit,source object,Redacted raw source payload,No token/secret,{...},,JSON string
RAW_Meta_Organic_Accounts,16,sync_run_id,Text,Yes,No,Audit,runtime,Sync correlation ID,Never null,run_...,MKT_Sync_Log,
RAW_Meta_Organic_Content,1,raw_content_key,Text,Yes,No,Primary + Stable,adapter,Stable content identity,Never null,instagram:ACCOUNT_ID:MEDIA_ID,,Primary field
RAW_Meta_Organic_Content,2,platform,SingleSelect,Yes,No,Partition,adapter,Organic platform,Exact controlled value,instagram,facebook|instagram,Use Views by platform
RAW_Meta_Organic_Content,3,source_account_id,Text,Yes,No,Parent identity,page/account ID,Authoritative owner account ID,Text,ACCOUNT_ID,RAW_Meta_Organic_Accounts,
RAW_Meta_Organic_Content,4,source_content_id,Text,Yes,No,Identity,post/media id,External content ID,Composite IDs preserved as Text,POST_ID,,
RAW_Meta_Organic_Content,5,content_type,SingleSelect,Yes,No,Classification,type/media_type/media_product_type,Normalized source content type,Unknown remains other,image,post|image|video|reel|carousel|story|status|link|live|other,
RAW_Meta_Organic_Content,6,message_or_caption,LongText,No,Yes,Attribute,message/caption,Post body or media caption,Null valid,,,
RAW_Meta_Organic_Content,7,title,Text,No,Yes,Attribute,title,Optional source title,title=null is valid,,,
RAW_Meta_Organic_Content,8,permalink_url,URL,No,Yes,Attribute,permalink_url,Public content link,Null valid,,,
RAW_Meta_Organic_Content,9,media_url,URL,No,Yes,Attribute,media_url,Source media URL when permitted,May expire; null valid,,,Do not treat as durable asset
RAW_Meta_Organic_Content,10,thumbnail_url,URL,No,Yes,Attribute,thumbnail_url,Best available thumbnail URL,May expire; null valid,,,
RAW_Meta_Organic_Content,11,published_at,DateTime,Yes,No,Source time,created_time/timestamp,Original publish instant,Store exact source instant,,,
RAW_Meta_Organic_Content,12,updated_at,DateTime,No,Yes,Source time,updated_time,Last source update instant,Null valid,,,
RAW_Meta_Organic_Content,13,is_published,Checkbox,No,Yes,State,is_published,Published state when source exposes it,Boolean preserved,,,
RAW_Meta_Organic_Content,14,source_availability_status,SingleSelect,Yes,No,State,adapter reconciliation,Current source availability,Missing is not zero,available,available|missing|private|deleted|expired|unknown,
RAW_Meta_Organic_Content,15,last_seen_at,DateTime,Yes,No,Audit,connector clock,Latest instant content was observed,Do not advance for missing rows,,,
RAW_Meta_Organic_Content,16,missing_since,DateTime,No,Yes,Audit,reconciliation,First instant content became missing,Null while available,,,
RAW_Meta_Organic_Content,17,fetched_at,DateTime,Yes,No,Audit,connector clock,Fetch instant UTC,Store exact instant,,,
