Table,Order,Field,Lark Type,Required,Nullable,Key role,Source path / metric,Definition,Time / zero / null semantics,Example,Relation / Options,Import note
RAW_Instagram_Accounts,1,raw_ig_account_key,Text,Yes,No,Primary + Stable,instagram:{canonical_ig_user_id},Stable raw IG account key,Never null,instagram:INSTAGRAM_USER_ID,,Primary field
RAW_Instagram_Accounts,2,canonical_ig_user_id,Text,Yes,No,Identity,/me.id,Canonical account ID only from /me,Never overwrite from insights id,INSTAGRAM_USER_ID,,
RAW_Instagram_Accounts,3,insight_resource_alias,Text,No,Yes,Audit alias,insights[].id prefix,Raw resource alias for diagnostics,Must not become canonical ID,INSTAGRAM_INSIGHT_ALIAS,,
RAW_Instagram_Accounts,4,username,Text,Yes,No,Not a key,username,IG username,Latest value,thanakirinfarm,,
RAW_Instagram_Accounts,5,account_type,SingleSelect,Yes,No,Classification,account_type,Professional account type,Exact supported value,MEDIA_CREATOR,BUSINESS|MEDIA_CREATOR,
RAW_Instagram_Accounts,6,media_count,Number,No,Yes,Metric,media_count,Current media count,0 is valid,1,,
RAW_Instagram_Accounts,7,followers_count,Number,No,Yes,Metric,followers_count,Current followers,0 is valid,4,,
RAW_Instagram_Accounts,8,follows_count,Number,No,Yes,Metric,follows_count,Current follows,0 is valid,7,,
RAW_Instagram_Accounts,9,fetched_at,DateTime,Yes,No,Audit,connector clock,Fetch instant,UTC,,,
RAW_Instagram_Accounts,10,source_payload_json,LongText,Yes,No,Audit,/me object,Redacted raw payload,No token,,,JSON
RAW_Instagram_Accounts,11,sync_run_id,Text,Yes,No,Audit,runtime,Sync correlation,Never null,,MKT_Sync_Log,
RAW_Instagram_Media,1,raw_ig_media_key,Text,Yes,No,Primary + Stable,instagram:{canonical_ig_user_id}:{source_media_id},Stable raw media key,Never null,instagram:2786:INSTAGRAM_MEDIA_ID,,Primary field
RAW_Instagram_Media,2,canonical_ig_user_id,Text,Yes,No,Identity,configured /me id,Parent canonical account,Never null,INSTAGRAM_USER_ID,RAW_Instagram_Accounts,
RAW_Instagram_Media,3,source_media_id,Text,Yes,No,Identity,id,Instagram Media ID,Text,INSTAGRAM_MEDIA_ID,,
RAW_Instagram_Media,4,media_type,SingleSelect,Yes,No,Classification,media_type,Media object type,Exact source value,IMAGE,IMAGE|VIDEO|CAROUSEL_ALBUM,
RAW_Instagram_Media,5,media_product_type,SingleSelect,No,Yes,Classification,media_product_type,Placement/product type,Null/unknown preserved,FEED,FEED|REELS|STORY|AD|UNKNOWN,
RAW_Instagram_Media,6,caption,LongText,No,Yes,Not a key,caption,Media caption,Null valid,,,
RAW_Instagram_Media,7,permalink,URL,No,Yes,Not a key,permalink,Public media link,Null valid,,,
RAW_Instagram_Media,8,media_url,URL,No,Yes,Raw transient,media_url,Source media URL,May expire; not identity,,,Do not rely for idempotency
RAW_Instagram_Media,9,thumbnail_url,URL,No,Yes,Raw transient,thumbnail_url,Thumbnail for video,May expire,,,
RAW_Instagram_Media,10,timestamp,DateTime,Yes,No,Source time,timestamp,Publish timestamp,Store exact source instant,46219.307858796295,,
RAW_Instagram_Media,11,like_count,Number,No,Yes,Metric,like_count,Current lifetime likes,0 is valid,4,,
RAW_Instagram_Media,12,comments_count,Number,No,Yes,Metric,comments_count,Current lifetime comments,0 is valid,0,,
RAW_Instagram_Media,13,children_count,Number,No,Yes,Metric,children.data length,Carousel child count,Null if not fetched/unsupported,,,
RAW_Instagram_Media,14,fetched_at,DateTime,Yes,No,Audit,connector clock,Fetch instant UTC,Exact instant,,,
RAW_Instagram_Media,15,source_payload_json,LongText,Yes,No,Audit,media object,Redacted raw payload,No token,,,JSON
